CD_MUN;NM_MUN;SIGLA_UF;CD_RGI;NM_RGI;CD_RGINT;NM_RGINT;CD_CONCURB;NM_CONCURB;AREA_KM2;Flag_Conurbacao
3118205;Conquista;MG;310055;Uberaba;3110;Uberaba;;;618.363;Sem conurbação
3110806;Campanário;MG;310013;Teófilo Otoni;3103;Teófilo Otoni;;;442.398;Sem conurbação
3543402;Ribeirão Preto;SP;350031;Ribeirão Preto;3508;Ribeirão Preto;3543402;Ribeirão Preto/SP;650.916;Conurbação
3167509;Simão Pereira;MG;310027;Juiz de Fora;3106;Juíz de Fora;3136702;Juiz de Fora/MG;135.689;Conurbação
3518859;Guatapará;SP;350031;Ribeirão Preto;3508;Ribeirão Preto;;;413.653;Sem conurbação
3102605;Andradas;MG;310051;Poços de Caldas;3109;Pouso Alegre;;;469.396;Sem conurbação
3518206;Guararapes;SP;350022;Araçatuba;3506;Araçatuba;;;955.637;Sem conurbação
3159308;Santa Rita de Jacutinga;MG;310027;Juiz de Fora;3106;Juíz de Fora;;;420.94;Sem conurbação
3142809;Monte Alegre de Minas;MG;310059;Uberlândia;3111;Uberlândia;;;2595.957;Sem conurbação
3510005;Cândido Mota;SP;350014;Assis;3504;Marília;;;595.811;Sem conurbação
3502606;Aparecida d'Oeste;SP;350028;Jales;3507;São José do Rio Preto;;;179.004;Sem conurbação
3110103;Caiana;MG;310034;Carangola;3106;Juíz de Fora;;;106.465;Sem conurbação
3134608;Jaboticatubas;MG;310001;Belo Horizonte;3101;Belo Horizonte;;;1114.972;Sem conurbação
3101904;Alpinópolis;MG;310041;Passos;3108;Varginha;;;460.685;Sem conurbação
3143153;Monte Formoso;MG;310013;Teófilo Otoni;3103;Teófilo Otoni;;;385.553;Sem conurbação
3110202;Cajuri;MG;310033;Viçosa;3106;Juíz de Fora;;;83.038;Sem conurbação
3534609;Osvaldo Cruz;SP;350019;Adamantina - Lucélia;3505;Presidente Prudente;;;248.038;Sem conurbação
3305703;Sumidouro;RJ;330008;Nova Friburgo;3303;Petrópolis;;;413.407;Sem conurbação
3167400;Silvianópolis;MG;310050;Pouso Alegre;3109;Pouso Alegre;;;312.166;Sem conurbação
3102001;Alterosa;MG;310042;Alfenas;3108;Varginha;;;362.01;Sem conurbação
3502408;Anhumas;SP;350018;Presidente Prudente;3505;Presidente Prudente;3541406;Presidente Prudente/SP;320.84;Conurbação
3526407;Laranjal Paulista;SP;350040;Piracicaba;3510;Campinas;;;384.274;Sem conurbação
3159209;Santa Rita de Caldas;MG;310051;Poços de Caldas;3109;Pouso Alegre;;;503.011;Sem conurbação
