CD_MUN,CNAE_Predominante
3109451,Produtos de Metal
3138674,Alimentos
3157336,Móveis
3162922,Produtos de Metal
3203320,Alimentos
3204955,Alimentos
3301876,Alimentos
3304110,Alimentos
3305752,Alimentos
3516853,Alimentos
3525854,Alimentos
3541059,Alimentos
3302858,Alimentos
3162955,Produtos de Metal
3158953,Produtos de Metal
3301850,Alimentos
3300159,Vestuário
3304128,Alimentos
3300225,Vestuário
3203346,Alimentos
3520442,Manutenção
3519071,Alimentos
3506359,Alimentos
3509254,Alimentos
3502754,Alimentos
3101508,Alimentos
3101607,Alimentos
3101904,Alimentos
3102605,Alimentos
3103405,Alimentos
3103504,Produtos de Metal
3103900,Couro e Calçados
3104007,Alimentos
3104205,Produtos de Metal
3104601,Vestuário
3104908,Madeira
3105301,Vestuário
3105400,Alimentos
3105608,Alimentos
3105905,Produtos de Metal
3106200,Alimentos
3106309,Alimentos
3106705,Produtos de Metal
3106903,Vestuário
3107406,Alimentos
3107703,Alimentos
3108404,Alimentos
3109006,Alimentos
3109303,Produtos de Metal
3109402,Alimentos
3109709,Alimentos
3110004,Alimentos
3110301,Alimentos
3110608,Alimentos
3110707,Alimentos
3111200,Vestuário
3112307,Alimentos
3112604,Produtos de Metal
3113008,Alimentos
3113206,Alimentos
3113305,Alimentos
3113404,Alimentos
3113602,Alimentos
3113909,Alimentos
3114006,Alimentos
3114204,Móveis
3114303,Alimentos
3114402,Têxtil
3114501,Vestuário
3114709,Vestuário
3114808,Alimentos
3115102,Alimentos
3115300,Vestuário
3116605,Produtos de Metal
3116704,Alimentos
3117504,Alimentos
3117702,Alimentos
3117801,Minerais Não Metálicos
3118304,Alimentos
3118601,Alimentos
3119104,Produtos Diversos
3119203,Alimentos
3119302,Alimentos
3119401,Vestuário
3120201,Vestuário
3120805,Móveis
3120904,Alimentos
3121902,Móveis
3122306,Vestuário
3122900,Vestuário
3123007,Couro e Calçados
3123304,Alimentos
3123601,Alimentos
3123700,Minerais Não Metálicos
3123908,Alimentos
3124104,Alimentos
3125101,Alimentos
3125309,Alimentos
3126000,Alimentos
3126109,Vestuário
3127107,Alimentos
3127404,Alimentos
3127701,Alimentos
3128303,Têxtil
3128709,Couro e Calçados
3128808,Móveis
3129004,Móveis
3129509,Alimentos
3129806,Vestuário
3130101,Produtos de Metal
3130200,Minerais Não Metálicos
3130408,Alimentos
3130606,Vestuário
3130903,Alimentos
3131307,Vestuário
3131703,Alimentos
3131901,Alimentos
3132107,Alimentos
3132206,Alimentos
3132404,Alimentos
3132503,Alimentos
3132701,Alimentos
3133006,Alimentos
3133105,Alimentos
3133501,Vestuário
3133808,Vestuário
3134202,Alimentos
3134608,Alimentos
3134806,Alimentos
3134905,Vestuário
3135100,Alimentos
3135506,Alimentos
3136207,Produtos de Metal
3136702,Alimentos
3136900,Vestuário
3137205,Vestuário
3137502,Alimentos
3137601,Alimentos
3137809,Produtos de Metal
3138203,Alimentos
3138401,Vestuário
3138807,Alimentos
3139409,Alimentos
3139805,Vestuário
3140902,Alimentos
3141207,Alimentos
3142106,Alimentos
3142205,Alimentos
3142809,Alimentos
3143104,Alimentos
3143203,Alimentos
3143302,Alimentos
3143401,Vestuário
3143906,Vestuário
3144300,Alimentos
3144706,Alimentos
3145208,Couro e Calçados
3145604,Alimentos
3146008,Vestuário
3146107,Minerais Não Metálicos
3146305,Alimentos
3146404,Alimentos
3146503,Vestuário
3146909,Minerais Não Metálicos
3147105,Manutenção
3147204,Vestuário
3147402,Alimentos
3147600,Alimentos
3147907,Vestuário
3148004,Alimentos
3148103,Manutenção
3148608,Alimentos
3149309,Produtos de Metal
3149804,Alimentos
3150109,Alimentos
3150505,Alimentos
3151107,Vestuário
3151503,Alimentos
3151701,Alimentos
3151800,Alimentos
3152006,Produtos de Metal
3152105,Alimentos
3152501,Alimentos
3152600,Alimentos
3152709,Madeira
3152907,Produtos de Metal
3153103,Bebidas
3153608,Produtos de Metal
3154200,Têxtil
3154309,Alimentos
3154408,Alimentos
3154606,Vestuário
3154705,Alimentos
3155009,Alimentos
3155405,Vestuário
3155801,Vestuário
3156304,Móveis
3156700,Alimentos
3157005,Alimentos
3157807,Alimentos
3158300,Vestuário
3159209,Alimentos
3159407,Alimentos
3159605,Equipamentos de Informática
3160405,Alimentos
3161502,Vestuário
3161908,Alimentos
3162005,Alimentos
3162203,Produtos Diversos
3162500,Alimentos
3162708,Alimentos
3163102,Alimentos
3163706,Alimentos
3164704,Vestuário
3165305,Alimentos
3165404,Alimentos
3166808,Alimentos
3167202,Alimentos
3167806,Madeira
3168002,Vestuário
3168606,Produtos Diversos
3168804,Móveis
3168903,Alimentos
3169000,Vestuário
3169307,Alimentos
3169406,Alimentos
3169901,Móveis
3170107,Alimentos
3170206,Alimentos
3170404,Manutenção
3170503,Alimentos
3170701,Alimentos
3171204,Alimentos
3171303,Alimentos
3172004,Vestuário
3200102,Alimentos
3200300,Alimentos
3200607,Manutenção
3200805,Alimentos
3201001,Alimentos
3201209,Minerais Não Metálicos
3201308,Produtos de Metal
3201506,Vestuário
3201704,Alimentos
3202108,Alimentos
3202306,Alimentos
3202405,Alimentos
3202603,Alimentos
3202801,Alimentos
3203205,Alimentos
3203908,Alimentos
3204005,Alimentos
3204609,Alimentos
3204708,Vestuário
3204906,Alimentos
3205002,Alimentos
3205101,Alimentos
3205200,Alimentos
3205309,Alimentos
3203353,Vestuário
3203056,Produtos de Metal
3204559,Alimentos
3133758,Vestuário
3300100,Manutenção
3300308,Alimentos
3300407,Alimentos
3300506,Vestuário
3300704,Alimentos
3300803,Alimentos
3301009,Alimentos
3301207,Alimentos
3301306,Alimentos
3301405,Alimentos
3301603,Vestuário
3301702,Alimentos
3301801,Alimentos
3301900,Alimentos
3302007,Alimentos
3302205,Vestuário
3302403,Manutenção
3302502,Alimentos
3302700,Alimentos
3303302,Alimentos
3303401,Vestuário
3303500,Alimentos
3303609,Alimentos
3303906,Vestuário
3304003,Alimentos
3304102,Alimentos
3304201,Alimentos
3304300,Alimentos
3304508,Vestuário
3304706,Minerais Não Metálicos
3304805,Alimentos
3304904,Alimentos
3305109,Alimentos
3305208,Alimentos
3305802,Vestuário
3306008,Alimentos
3306107,Alimentos
3306206,Alimentos
3306305,Alimentos
3304557,Alimentos
3303856,Alimentos
3500303,Vestuário
3500501,Vestuário
3500709,Vestuário
3501004,Alimentos
3501509,Alimentos
3501608,Vestuário
3501707,Produtos de Metal
3501905,Vestuário
3502101,Alimentos
3502200,Vestuário
3502507,Produtos Diversos
3502804,Alimentos
3503208,Alimentos
3503307,Manutenção
3503406,Vestuário
3503802,Manutenção
3503901,Manutenção
3504008,Alimentos
3504107,Alimentos
3504206,Vestuário
3504404,Alimentos
3504503,Vestuário
3504602,Vestuário
3505203,Alimentos
3505302,Alimentos
3505500,Alimentos
3505708,Manutenção
3505906,Produtos de Metal
3506003,Alimentos
3506102,Alimentos
3506409,Couro e Calçados
3506508,Couro e Calçados
3506805,Couro e Calçados
3507001,Produtos de Metal
3507100,Vestuário
3507308,Alimentos
3507407,Têxtil
3507506,Produtos de Metal
3507605,Produtos de Metal
3507803,Vestuário
3507902,Manutenção
3508108,Produtos de Metal
3508306,Produtos de Metal
3508504,Produtos de Metal
3508603,Alimentos
3508702,Vestuário
3508801,Vestuário
3509007,Manutenção
3509205,Manutenção
3509502,Alimentos
3509601,Manutenção
3509700,Alimentos
3510005,Alimentos
3510401,Vestuário
3510609,Alimentos
3510807,Manutenção
3511102,Alimentos
3511300,Produtos de Metal
3511409,Alimentos
3511508,Vestuário
3511607,Vestuário
3511706,Manutenção
3557204,Produtos de Metal
3512308,Vestuário
3512407,Manutenção
3513009,Alimentos
3513405,Alimentos
3513702,Manutenção
3513801,Produtos de Metal
3514007,Manutenção
3514106,Alimentos
3514304,Alimentos
3514403,Alimentos
3514601,Alimentos
3514700,Alimentos
3514908,Produtos de Metal
3515004,Alimentos
3515103,Alimentos
3515608,Alimentos
3515707,Vestuário
3516200,Couro e Calçados
3516309,Vestuário
3516408,Alimentos
3516606,Alimentos
3516705,Produtos de Metal
3517406,Manutenção
3517604,Vestuário
3518206,Alimentos
3518305,Produtos de Metal
3518701,Manutenção
3518800,Vestuário
3519105,Produtos de Metal
3519303,Manutenção
3519402,Vestuário
3519600,Têxtil
3519709,Alimentos
3519808,Produtos de Metal
3520103,Alimentos
3520301,Alimentos
3520509,Manutenção
3520806,Vestuário
3520905,Vestuário
3521200,Alimentos
3522109,Alimentos
3522208,Alimentos
3522307,Vestuário
3522406,Alimentos
3522604,Alimentos
3522703,Vestuário
3522901,Vestuário
3523107,Vestuário
3523206,Alimentos
3523404,Manutenção
3523503,Produtos de Metal
3523701,Couro e Calçados
3523909,Produtos de Metal
3524105,Alimentos
3524303,Manutenção
3524402,Manutenção
3524501,Móveis
3524709,Manutenção
3524808,Alimentos
3525003,Alimentos
3525102,Vestuário
3525300,Couro e Calçados
3525706,Vestuário
3525904,Manutenção
3526209,Alimentos
3526407,Produtos de Metal
3526704,Manutenção
3526803,Manutenção
3526902,Produtos de Metal
3527108,Alimentos
3527207,Alimentos
3527405,Alimentos
3527603,Alimentos
3528007,Vestuário
3528403,Vestuário
3528502,Manutenção
3528601,Vestuário
3528700,Vestuário
3529005,Alimentos
3529302,Produtos de Metal
3529401,Manutenção
3529500,Vestuário
3529708,Alimentos
3530300,Vestuário
3530508,Produtos de Metal
3530607,Alimentos
3530706,Manutenção
3530805,Manutenção
3531209,Alimentos
3531308,Produtos de Metal
3531407,Vestuário
3531506,Manutenção
3531704,Alimentos
3531803,Produtos de Metal
3532603,Alimentos
3532702,Alimentos
3533403,Manutenção
3533502,Alimentos
3533908,Alimentos
3534104,Produtos de Metal
3534302,Vestuário
3534401,Alimentos
3534609,Vestuário
3534708,Alimentos
3534906,Alimentos
3535408,Minerais Não Metálicos
3535507,Alimentos
3535705,Produtos de Metal
3536505,Manutenção
3536703,Produtos de Metal
3537008,Couro e Calçados
3537107,Minerais Não Metálicos
3537305,Produtos de Metal
3537404,Alimentos
3537800,Produtos de Metal
3537909,Vestuário
3538006,Manutenção
3515186,Manutenção
3538204,Vestuário
3538600,Alimentos
3538709,Manutenção
3538808,Vestuário
3539103,Produtos de Metal
3539301,Alimentos
3539806,Vestuário
3540606,Vestuário
3540705,Minerais Não Metálicos
3540804,Vestuário
3540903,Manutenção
3541000,Alimentos
3541406,Alimentos
3542107,Vestuário
3542206,Alimentos
3542602,Alimentos
3543303,Produtos de Metal
3543402,Alimentos
3543501,Vestuário
3543600,Alimentos
3543907,Produtos de Metal
3544004,Vestuário
3544103,Alimentos
3544608,Alimentos
3544905,Fumo
3545209,Manutenção
3545407,Produtos de Metal
3545803,Vestuário
3546009,Manutenção
3546306,Vestuário
3546405,Vestuário
3546603,Alimentos
3546702,Manutenção
3546801,Vestuário
3547304,Manutenção
3547700,Vestuário
3547809,Manutenção
3548104,Vestuário
3548500,Alimentos
3548609,Alimentos
3548708,Manutenção
3548807,Manutenção
3548906,Alimentos
3549102,Manutenção
3549409,Alimentos
3549508,Alimentos
3549706,Alimentos
3549805,Alimentos
3549904,Manutenção
3550308,Vestuário
3550407,Vestuário
