CD_MUN,Cultura_Predominante
3100104,Soja (em grão)
3100203,Milho (em grão)
3100302,Feijão (em grão)
3100401,Milho (em grão)
3100500,Cana-de-açúcar
3100609,Milho (em grão)
3100708,Cana-de-açúcar
3100807,Milho (em grão)
3100906,Mandioca
3101003,Mandioca
3101102,Milho (em grão)
3101201,Milho (em grão)
3101300,Milho (em grão)
3101409,Milho (em grão)
3101508,Feijão (em grão)
3101607,Soja (em grão)
3101631,Milho (em grão)
3101706,Feijão (em grão)
3101805,Milho (em grão)
3101904,Soja (em grão)
3102001,Milho (em grão)
3102050,Milho (em grão)
3102100,Milho (em grão)
3102209,Feijão (em grão)
3102308,Milho (em grão)
3102407,Mandioca
3102506,Milho (em grão)
3102605,Milho (em grão)
3102704,Feijão (em grão)
3102803,Milho (em grão)
3102852,Milho (em grão)
3102902,Milho (em grão)
3103009,Milho (em grão)
3103108,Milho (em grão)
3103207,Milho (em grão)
3103306,Feijão (em grão)
3103405,Feijão (em grão)
3103504,Soja (em grão)
3103603,Feijão (em grão)
3103702,Milho (em grão)
3103751,Cana-de-açúcar
3103801,Milho (em grão)
3103900,Mandioca
3104007,Soja (em grão)
3104106,Cana-de-açúcar
3104205,Milho (em grão)
3104304,Cana-de-açúcar
3104403,Feijão (em grão)
3104452,Milho (em grão)
3104502,Soja (em grão)
3104601,Mandioca
3104700,Feijão (em grão)
3104809,Cana-de-açúcar
3104908,Milho (em grão)
3105004,Soja (em grão)
3105103,Cana-de-açúcar
3105202,Mandioca
3105301,Milho (em grão)
3105400,Cana-de-açúcar
3105509,Cana-de-açúcar
3105608,Milho (em grão)
3105707,Feijão (em grão)
3105905,Milho (em grão)
3106002,Milho (em grão)
3106101,Milho (em grão)
3106200,Pouca Expressão Agrícola
3106309,Milho (em grão)
3106408,Batata-doce
3106507,Milho (em grão)
3106606,Mandioca
3106655,Feijão (em grão)
3106705,Milho (em grão)
3106804,Feijão (em grão)
3106903,Cana-de-açúcar
3107000,Milho (em grão)
3107109,Milho (em grão)
3107208,Milho (em grão)
3107307,Feijão (em grão)
3107406,Soja (em grão)
3107505,Feijão (em grão)
3107604,Soja (em grão)
3107703,Milho (em grão)
3107802,Feijão (em grão)
3107901,Batata-inglesa
3108008,Milho (em grão)
3108107,Mandioca
3108206,Soja (em grão)
3108255,Feijão (em grão)
3108305,Milho (em grão)
3108404,Milho (em grão)
3108503,Feijão (em grão)
3108552,Milho (em grão)
3108602,Feijão (em grão)
3108701,Feijão (em grão)
3108800,Feijão (em grão)
3108909,Mandioca
3109006,Milho (em grão)
3109105,Batata-inglesa
3109204,Milho (em grão)
3109253,Milho (em grão)
3109303,Soja (em grão)
3109402,Soja (em grão)
3109451,Soja (em grão)
3109501,Milho (em grão)
3109600,Milho (em grão)
3109709,Mandioca
3109808,Soja (em grão)
3109907,Soja (em grão)
3110004,Milho (em grão)
3110103,Feijão (em grão)
3110202,Milho (em grão)
3110301,Milho (em grão)
3110400,Milho (em grão)
3110509,Batata-inglesa
3110608,Milho (em grão)
3110707,Milho (em grão)
3110806,Cana-de-açúcar
3110905,Soja (em grão)
3111002,Milho (em grão)
3111101,Soja (em grão)
3111150,Feijão (em grão)
3111200,Milho (em grão)
3111309,Milho (em grão)
3111408,Cana-de-açúcar
3111507,Soja (em grão)
3111606,Soja (em grão)
3111705,Milho (em grão)
3111804,Cana-de-açúcar
3111903,Milho (em grão)
3112000,Milho (em grão)
3112059,Milho (em grão)
3112109,Milho (em grão)
3112208,Milho (em grão)
3112307,Milho (em grão)
3112406,Soja (em grão)
3112505,Alho
