Ano;SIGLA_UF;CD_MUN;NM_MUN;VAB_Agropecuaria;VAB_Industria;VAB_Servicos;VAB_Adm_Publica;PIB;Setor_Dominante
2021;MG;3100104;Abadia dos Dourados;75110.576;10609.966;43375.457;38585.978;176730.073;Agropecuária
2021;MG;3100203;Abaeté;127033.876;40594.899;220366.054;108966.05;541135.868;Serviços
2021;MG;3100302;Abre Campo;66751.611;14006.53;100226.086;61422.445;262668.33;Serviços
2021;MG;3100401;Acaiaca;3563.593;12306.954;22200.75;23345.463;64892.356;Adm. Pública
2021;MG;3100500;Açucena;21964.548;75035.537;24500.72;41343.003;165795.99;Indústria
2021;MG;3100609;Água Boa;56490.598;7669.372;54780.869;63873.615;192064.905;Adm. Pública
2021;MG;3100708;Água Comprida;154963.363;9949.164;39703.55;20053.535;230005.138;Agropecuária
2021;MG;3100807;Aguanil;33972.85;3193.004;26809.425;27140.709;94598.101;Agropecuária
2021;MG;3100906;Águas Formosas;21207.082;24021.94;128787.557;91588.988;287546.392;Serviços
2021;MG;3101003;Águas Vermelhas;52991.442;8903.823;88300.49;65954.424;236693.731;Serviços
2021;MG;3101102;Aimorés;62403.461;198204.927;218161.917;122602.555;637982.739;Serviços
2021;MG;3101201;Aiuruoca;36086.111;3032.313;51240.177;31536.171;128545.751;Serviços
2021;MG;3101300;Alagoa;12807.848;2783.566;12137.637;17906.919;47699.152;Adm. Pública
2021;MG;3101409;Albertina;18311.194;6168.609;76542.771;20671.727;153934.928;Serviços
2021;MG;3101508;Além Paraíba;13246.91;330854.988;404540.467;163827.62;971558.229;Serviços
2021;MG;3101607;Alfenas;285843.836;507373.258;1759777.462;410535.762;3486906.669;Serviços
2021;MG;3101631;Alfredo Vasconcelos;43650.687;15260.033;44699.541;35289.571;150571.429;Serviços
2021;MG;3101706;Almenara;24789.138;90777.195;311895.684;198865.376;674814.982;Serviços
2021;MG;3101805;Alpercata;9792.563;7803.522;32601.519;37978.255;94681.749;Adm. Pública
2021;MG;3101904;Alpinópolis;159833.334;36181.231;196491.756;92902.535;524181.772;Serviços
2021;MG;3102001;Alterosa;90182.339;15297.871;104311.631;70975.082;296492.03;Serviços
2021;MG;3102050;Alto Caparaó;19090.075;3297.768;36212.581;32909.587;97092.315;Serviços
2021;MG;3102100;Alto Rio Doce;67073.401;6715.097;49574.173;51056.357;180094.627;Agropecuária
2021;MG;3102209;Alvarenga;10161.099;1950.621;15292.977;25180.327;54645.245;Adm. Pública
2021;MG;3102308;Alvinópolis;35148.881;88901.404;104021.355;65962.266;340110.153;Serviços
2021;MG;3102407;Alvorada de Minas;11276.519;1737.672;15044.669;30293.279;64841.285;Adm. Pública
2021;MG;3102506;Amparo do Serra;11817.895;1996.521;15558.458;24245.632;55909.591;Adm. Pública
2021;MG;3102605;Andradas;128329.349;254848.679;463663.128;197465.948;1183259.133;Serviços
2021;MG;3102704;Cachoeira de Pajeú;7112.874;4003.348;57452.326;45896.879;125619.851;Serviços
2021;MG;3102803;Andrelândia;78767.817;16641.992;112872.639;61729.088;292393.578;Serviços
2021;MG;3102852;Angelândia;49166.621;11779.902;35007.24;41755.345;144549.106;Agropecuária
2021;MG;3102902;Antônio Carlos;39127.57;50747.809;71893.218;57047.518;242348.277;Serviços
2021;MG;3103009;Antônio Dias;32326.856;596936.829;179494.039;58827.166;894601.229;Indústria
2021;MG;3103108;Antônio Prado de Minas;4350.345;921.072;7509.987;14979.911;28555.65;Adm. Pública
2021;MG;3103207;Araçaí;11726.002;15465.306;11390.835;17456.668;60662.309;Adm. Pública
2021;MG;3103306;Aracitaba;4674.734;2210.093;8461.212;14931.463;31370.762;Adm. Pública
2021;MG;3103405;Araçuaí;24700.695;53306.157;242994.277;162561.35;519973.761;Serviços
2021;MG;3103504;Araguari;539102.186;1882310.947;2144315.694;597310.126;5836329.304;Serviços
2021;MG;3103603;Arantina;45681.031;4305.877;17762.975;18779.587;88536.227;Agropecuária
2021;MG;3103702;Araponga;47884.889;3935.06;25524.717;41222.985;122267.339;Agropecuária
2021;MG;3103751;Araporã;60753.349;916759.501;196117.228;64994.021;1294623.562;Indústria
2021;MG;3103801;Arapuá;30299.562;43587.937;53981.646;18143.659;172745.24;Serviços
2021;MG;3103900;Araújos;239754.716;45754.006;116649.496;47774.653;474403.537;Agropecuária
2021;MG;3104007;Araxá;190764.578;4272471.185;2704357.583;604091.433;8950199.701;Indústria
2021;MG;3104106;Arceburgo;29866.684;85997.272;120869.619;55719.294;346405.109;Serviços
2021;MG;3104205;Arcos;112414.618;1000376.093;712440.13;199692.05;2345874.338;Indústria
2021;MG;3104304;Areado;57214.292;28287.129;129329.746;72381.903;309330.041;Serviços
2021;MG;3104403;Argirita;6579.867;985.058;12092.866;18517.668;40066.896;Adm. Pública
2021;MG;3104452;Aricanduva;22170.097;1201.179;13605.5;28506.369;67088.495;Adm. Pública
2021;MG;3104502;Arinos;96701.733;11585.508;101995.957;90999.355;318814.801;Serviços
2021;MG;3104601;Astolfo Dutra;24131.594;74116.297;96537.401;71204.226;291865.542;Serviços
2021;MG;3104700;Ataléia;50287.058;23594.954;53861.599;59394.658;198960.488;Adm. Pública
2021;MG;3104809;Augusto de Lima;17997.272;3205.739;33761.268;26924.298;89054.488;Serviços
2021;MG;3104908;Baependi;45768.671;35982.705;178526.824;95020.889;380866.399;Serviços
2021;MG;3105004;Baldim;24132.935;92321.555;39331.635;38912.563;201271.578;Indústria
2021;MG;3105103;Bambuí;245778.343;86400.601;273900.463;109160.853;779906.39;Serviços
2021;MG;3105202;Bandeira;12900.71;2670.67;14218.142;27735.332;59093.101;Adm. Pública
2021;MG;3105301;Bandeira do Sul;7068.165;7846.416;34848.521;30455.308;86571.538;Serviços
2021;MG;3105400;Barão de Cocais;19329.223;1486715.264;595487.991;180131.308;2438852.091;Indústria
2021;MG;3105509;Barão do Monte Alto;12414.992;3565.541;17455.397;27689.343;63070.684;Adm. Pública
2021;MG;3105608;Barbacena;158243.841;588299.877;1713016.584;605835.741;3521229.065;Serviços
2021;MG;3105707;Barra Longa;15598.811;4258.265;26510.016;29077.975;81928.238;Adm. Pública
2021;MG;3105905;Barroso;5469.114;239843.8;178709.876;100830.269;608479.713;Indústria
2021;MG;3106002;Bela Vista de Minas;5728.924;371455.994;124407.987;56236.43;568233.696;Indústria
2021;MG;3106101;Belmiro Braga;15436.305;6261.014;16418.503;20404.126;61557.352;Adm. Pública
2021;MG;3106200;Belo Horizonte;4387.98;16146070.064;63270426.932;12743033.425;105920858.653;Serviços
2021;MG;3106309;Belo Oriente;16550.353;1411066.188;338514.54;145410.954;2089749.896;Indústria
2021;MG;3106408;Belo Vale;30221.271;114665.061;66037.177;59049.942;279867.823;Indústria
2021;MG;3106507;Berilo;7940.344;2904.866;41005.161;55913.392;112833.282;Adm. Pública
2021;MG;3106606;Bertópolis;12086.781;1027.375;13264.041;26155.439;53770.091;Adm. Pública
2021;MG;3106655;Berizal;15011.5;3290.145;14130.711;26362.705;61006.299;Adm. Pública
2021;MG;3106705;Betim;18120.087;14547207.512;10568799.066;2305733.828;33125377.767;Indústria
2021;MG;3106804;Bias Fortes;9902.897;730.463;10424.208;19080.817;41582.589;Adm. Pública
2021;MG;3106903;Bicas;7276.363;28992.22;149119.076;68588.817;277715.129;Serviços
2021;MG;3107000;Biquinhas;23743.555;1888.441;17238.609;18360.58;64472.888;Agropecuária
2021;MG;3107109;Boa Esperança;253236.648;86813.516;435466.53;191404.062;1058479.721;Serviços
2021;MG;3107208;Bocaina de Minas;18011.899;4744.848;25665.037;27870.945;80210.574;Adm. Pública
2021;MG;3107307;Bocaiúva;97988.592;318493.245;407070.711;238283.497;1224913.798;Serviços
2021;MG;3107406;Bom Despacho;205852.764;300936.851;863458.496;239097.479;1814549.771;Serviços
2021;MG;3107505;Bom Jardim de Minas;25773.139;9545.903;46149.528;36216.889;127743.333;Serviços
