CD_MUN;Pop_2021;Pop_2024;Pop_2025
3100104;7022;6365;6345.0
3100203;23263;23161;23173.0
3100302;13434;14312;14354.0
3100401;3995;3997;3998.0
3100500;9270;8995;8926.0
3100609;13319;12545;12391.0
3100708;1986;2165;2171.0
3100807;4557;4490;4509.0
3100906;19285;18841;18850.0
3101003;13656;14486;14567.0
3101102;25116;26165;26212.0
3101201;5949;6382;6389.0
3101300;2657;2816;2820.0
3101409;3015;3023;3027.0
3101508;35438;31333;31159.0
3101607;80973;81950;82303.0
3101631;7052;7184;7236.0
3101706;42380;41894;42019.0
3101805;7448;7029;7019.0
3101904;20059;18672;18673.0
3102001;14566;14253;14272.0
3102050;5938;5982;6014.0
3102100;10723;10994;10931.0
3102209;3783;4012;3983.0
3102308;15135;15360;15358.0
3102407;3605;4322;4359.0
3102506;4643;4595;4574.0
3102605;41704;42282;42501.0
3102704;9470;9333;9347.0
3102803;12189;12169;12163.0
3102852;8594;7860;7849.0
3102902;11471;11345;11350.0
3103009;9233;9388;9375.0
3103108;1577;1558;1552.0
3103207;2360;2224;2222.0
3103306;2056;2095;2095.0
3103405;36715;35250;35185.0
3103504;118361;122874;123432.0
3103603;2779;2991;2998.0
3103702;8467;8218;8218.0
3103751;6992;8935;9069.0
3103801;2836;2674;2668.0
3103900;9523;9556;9634.0
3104007;108403;117677;118786.0
3104106;10990;9348;9335.0
3104205;40658;43348;43653.0
3104304;15288;14212;14229.0
3104403;2681;2725;2715.0
3104452;5305;4820;4820.0
3104502;17850;17598;17586.0
3104601;14358;14565;14633.0
3104700;12496;13967;13936.0
3104809;4833;4593;4572.0
3104908;19249;18768;18782.0
3105004;7780;7614;7595.0
3105103;23964;24144;24203.0
3105202;4738;4821;4811.0
3105301;5808;6146;6183.0
3105400;33232;32095;32264.0
3105509;5311;4991;4952.0
3105608;139061;129630;129695.0
3105707;4905;5740;5717.0
3105905;20981;20566;20604.0
3106002;10269;10412;10427.0
3106101;3422;3299;3292.0
3106200;2530701;2416339;2415872.0
3106309;27277;24503;24546.0
3106408;7723;8946;9012.0
3106507;11813;9769;9638.0
3106606;4609;4546;4546.0
3106655;4792;4277;4270.0
3106705;450024;429236;431433.0
3106804;3282;3388;3367.0
3106903;14612;14331;14358.0
3107000;2482;2409;2397.0
3107109;40308;41332;41443.0
3107208;5088;5508;5530.0
3107307;50521;49668;49797.0
3107406;51436;53995;54377.0
3107505;6444;6968;6988.0
3107604;4270;4642;4677.0
3107703;6182;5775;5786.0
3107802;14792;14756;14719.0
3107901;10527;13183;13312.0
3108008;17612;17510;17515.0
3108107;6852;7672;7710.0
3108206;5397;5615;5600.0
3108255;11502;10491;10525.0
3108305;19809;17811;17837.0
3108404;14927;15137;15141.0
3108503;6259;5841;5806.0
3108552;16950;15432;15485.0
3108602;32460;33188;33262.0
3108701;4255;4314;4296.0
3108800;4737;4475;4445.0
3108909;14364;14506;14491.0
3109006;41208;40777;41090.0
3109105;10982;11161;11168.0
3109204;10342;9229;9171.0
3109253;3984;4149;4159.0
3109303;25179;24693;24779.0
3109402;28184;24068;23908.0
3109451;7025;6797;6811.0
3109501;14074;11396;11269.0
3109600;3580;3781;3785.0
3109709;11609;12248;12302.0
3109808;2720;2346;2337.0
3109907;11869;11832;11906.0
3110004;45364;39850;39775.0
3110103;5584;5463;5484.0
3110202;3961;4186;4191.0
3110301;14600;14588;14628.0
3110400;2839;2867;2851.0
3110509;21831;27551;27860.0
3110608;30068;30870;31066.0
3110707;12810;12560;12551.0
3110806;3739;2917;2884.0
3110905;16855;16334;16372.0
3111002;21052;21143;21155.0
3111101;19759;18250;18188.0
3111150;3830;3802;3806.0
3111200;54338;53943;54027.0
3111309;11648;11624;11625.0
3111408;8383;8838;8931.0
3111507;15661;13136;13076.0
3111606;28908;26809;26749.0
3111705;4533;4832;4839.0
3111804;12251;10755;10716.0
3111903;5585;5356;5342.0
3112000;14890;14236;14211.0
3112059;4575;4039;4029.0
3112109;5464;5144;5138.0
3112208;4616;4416;4397.0
3112307;38321;41536;41858.0
3112406;6860;6652;6627.0
3112505;9896;11105;11210.0
3112604;16294;14899;14872.0
3112653;5559;4650;4634.0
3112703;15388;14401;14403.0
3112802;8693;10863;10991.0
3112901;9318;9128;9128.0
3113008;23872;19654;19511.0
3113107;3150;2960;2942.0
3113206;25831;24368;24403.0
3113305;33022;32165;32134.0
3113404;93124;90687;90890.0
3113503;9423;8633;8603.0
3113602;6826;7029;7062.0
3113701;18516;18852;18783.0
3113800;2660;2682;2693.0
3113909;12193;11776;11767.0
3114006;11546;11279;11291.0
3114105;15031;14114;14125.0
3114204;22900;24376;24581.0
3114303;30339;29899;29885.0
3114402;21310;21464;21506.0
3114501;19756;18498;18561.0
3114550;10103;9630;9633.0
3114600;4052;4153;4161.0
3114709;3614;3417;3419.0
3114808;4445;4507;4503.0
3114907;2251;2260;2260.0
3115003;3108;2757;2751.0
3115102;17741;17495;17491.0
3115201;3939;3596;3576.0
3115300;75942;67872;67732.0
3115359;5465;5668;5706.0
3115409;3665;3141;3124.0
3115458;6206;7226;7248.0
3115474;4944;4805;4788.0
3115508;21566;21436;21412.0
3115607;1150;1091;1084.0
3115706;7059;6243;6213.0
3115805;10343;10440;10447.0
3115904;3216;3177;3194.0
3116001;5695;6261;6289.0
3116100;15334;10024;9763.0
3116159;14217;12810;12904.0
3116209;2657;2865;2868.0
3116308;6811;5599;5549.0
3116407;4873;4777;4786.0
3116506;7478;7259;7230.0
3116605;29093;31665;31936.0
3116704;7631;7285;7293.0
3116803;8810;8251;8206.0
3116902;3128;2813;2804.0
3117009;6624;6627;6540.0
3117108;10351;10668;10705.0
3117207;2814;2837;2840.0
3117306;28782;29949;30278.0
3117405;4581;4503;4503.0
3117504;17438;24254;24559.0
3117603;5558;5567;5584.0
3117702;13729;12780;12765.0
3117801;11852;11183;11218.0
3117836;7730;7420;7433.0
3117876;6867;7676;7758.0
3117900;12209;11403;11444.0
3118007;55836;54986;55272.0
3118106;5047;4927;4924.0
3118205;6997;6864;6878.0
3118304;130584;137980;138946.0
3118403;22975;21113;21052.0
3118502;1786;1578;1569.0
3118601;673849;649975;651718.0
3118700;9099;9197;9188.0
3118809;26620;26151;26138.0
3118908;8903;7592;7535.0
3119005;3546;3247;3236.0
3119104;23607;23996;23988.0
3119203;9897;11200;11240.0
3119302;27958;30013;30114.0
3119401;110709;108551;108708.0
3119500;9209;8283;8237.0
3119609;3095;2799;2789.0
3119708;3448;3586;3599.0
3119807;3168;2978;2956.0
3119906;3685;4429;4462.0
3119955;6425;6310;6333.0
3120003;2688;2912;2900.0
3120102;4436;4346;4351.0
3120151;6814;5296;5256.0
