CD_MUN,Hierarquia_REGIC
3100104,Centro Local
3100203,Centro de Zona
3100302,Centro Local
3100401,Centro Local
3100500,Centro Local
3100609,Centro Local
3100708,Centro Local
3100807,Centro Local
3100906,Centro de Zona
3101003,Centro Local
3101102,Centro Local
3101201,Centro de Zona
3101300,Centro Local
3101409,Centro Local
3101508,Centro Subregional
3101607,Centro Subregional
3101706,Centro Subregional
3101805,Centro Local
3101904,Centro Local
3102001,Centro Local
3102050,Centro Local
3102100,Centro Local
3102209,Centro Local
3102308,Centro Local
3102407,Centro Local
3102506,Centro Local
3102605,Centro de Zona
3102704,Centro Local
3102803,Centro Local
3102852,Centro Local
3103009,Centro Local
3103108,Centro Local
3103207,Centro Local
3103306,Centro Local
3103405,Centro Subregional
3103504,Centro Subregional
3103603,Centro Local
3103702,Centro Local
3103801,Centro Local
3103900,Centro Local
3104007,Centro Subregional
3104106,Centro Local
3104205,Centro de Zona
3104304,Centro Local
3104403,Centro Local
3104452,Centro Local
3104502,Centro Local
3104601,Centro Local
3104700,Centro Local
3104809,Centro Local
3105004,Centro Local
3105103,Centro de Zona
3105202,Centro Local
3105301,Centro Local
3105400,Centro Local
3105509,Centro Local
3105608,Centro Subregional
3105707,Centro Local
3105905,Centro Local
3106101,Centro Local
3106200,Metrópole
3106408,Centro Local
3106507,Centro Local
3106606,Centro Local
3106655,Centro Local
3106804,Centro Local
3106903,Centro Local
3107000,Centro Local
3107109,Centro de Zona
3107208,Centro Local
3107307,Centro de Zona
3107406,Centro Subregional
3107505,Centro Local
3107604,Centro Local
3107703,Centro Local
3107802,Centro Local
3107901,Centro Local
3108008,Centro de Zona
3108107,Centro Local
3108206,Centro Local
3108255,Centro Local
3108305,Centro de Zona
3108404,Centro Local
3108503,Centro Local
3108552,Centro Local
3108602,Centro de Zona
3108701,Centro Local
3108800,Centro Local
3108909,Centro Local
3109105,Centro Local
3109204,Centro Local
3109303,Centro Local
3109451,Centro Local
3109501,Centro Local
3109600,Centro Local
3109709,Centro Local
3109808,Centro Local
3110103,Centro Local
3110301,Centro Local
3110400,Centro Local
3110509,Centro Local
3110608,Centro de Zona
3110707,Centro Local
3110806,Centro Local
3110905,Centro Local
3111002,Centro Local
3111101,Centro Local
3111150,Centro Local
3111200,Centro Subregional
3111309,Centro Local
3111408,Centro Local
3111507,Centro Local
3111606,Centro Local
3111705,Centro Local
3111804,Centro Local
3111903,Centro Local
3112000,Centro Local
3112059,Centro Local
3112109,Centro Local
3112208,Centro Local
3112307,Centro de Zona
3112406,Centro Local
3112604,Centro de Zona
3112653,Centro Local
3112703,Centro Local
3112802,Centro Local
3112901,Centro Local
3113008,Centro Local
3113107,Centro Local
3113206,Centro Local
3113305,Centro de Zona
3113404,Centro Subregional
3113503,Centro Local
3113602,Centro Local
3113701,Centro Local
3113800,Centro Local
3113909,Centro Local
3114006,Centro Local
3114105,Centro Local
